API10,API12,API14,Well Name,Well Number,Lease Name,Operator Alias (Legacy),Operator Company Name,Operator (Reported),Operator Ticker,Field,County/Parish,DI Basin,DI Play,DI Subplay,DI Landing Zone,DI Landing Zone Source,Target Formation,Formation at Total Depth,Producing Reservoir,Elevation,Elevation Type,Ground Elevation,Measured Depth (TD),True Vertical Depth,True Vertical Depth Source,Production Type,Well Status,Producing Entity Count,Producing Entity ID,Producing Entity Type,Producing Entity Lease Number,Spud Date,Spud Date Source,Completion Date,Completion Date Source,Drill Type,Upper Perforation,Lower Perforation,Gross Perforated Interval,Gross Perforated Interval Source,Horizontal Length,DI Lateral Length,DI Lateral Length Source,Wellbore Count (API10),Completion Count (API10),Treatment Job Count (API10),First Prod Date,Last Prod Date,Months Produced,Start Date (First Treatment Job),End Date (First Treatment Job),Qualifier (First Treatment Job),Treatment Type,Frac Vendor,Stage Count (First Treatment Job),Max Injection Rate (First Treatment Job),Max Injection Pressure (First Treatment Job),Total Proppant (First Treatment Job),Total Fluid (First Treatment Job),Total Additive (First Treatment Job),Proppant Per Horizontal Foot (First Treatment Job),Proppant per Perforated Foot (First Treatment Job),Fluid per Perforated Foot (First Treatment Job),Proppant Concentration (lbs/gal) (First Treatment Job),First Test Gas Volume,First Test Oil Volume,First Test Water Volume,First Test Hours Tested,First Test Production Method,First Well Test Date,First Reported Test Type,Last Well Test Date,Last Test Type,First Test Gas Gravity,First Test Oil Gravity,First Test GOR,First Test Casing Pressure,First Test Choke Size,First Test Flowing Tubing Pressure,Prac IP BOE,Prac IP Gas Daily,Prac IP Oil Daily,Prac IP CFGED,Peak BOE,Peak BOE Month No.,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Peak BOE per perforated Ft,Peak Gas per perforated Ft,Peak Oil per perforated Ft,Peak BOE per 1MM lbs proppant,Peak Gas per 1MM lbs proppant,Peak Oil per 1MM lbs proppant,Peak BOE per 1000 BBL Fluid,Peak Gas per 1000 BBL Fluid,Peak Oil per 1000 BBL Fluid,Cum BOE,Cum Gas,Cum Oil,Cum Water,Cum GOR,Cum BCFGE,Cum MMCFGE,Daily Gas,Daily Oil,Latest Gas,Latest Oil,Latest Water,Latest Yield,Last WHSIP,Latest GOR,First Month Gas,First Month Oil,First Month Water,2nd Month GOR,2nd Month Yield,First 6 BOE,First 6 Gas,First 6 Oil,First 6 Water,First 6 BOE per perforated Ft,First 6 Gas per perforated Ft,First 6 Oil per perforated Ft,First 6 BOE per 1MM lbs proppant,First 6 Gas per 1MM lbs proppant,First 6 Oil per 1MM lbs proppant,First 6 BOE per 1000 BBL Fluid,First 6 Gas per 1000 BBL Fluid,First 6 Oil per 1000 BBL Fluid,First 12 BOE,First 12 Gas,First 12 Oil,First 12 Water,First 12 MMCFGE,First 12 BOE per perforated Ft,First 12 Gas per perforated Ft,First 12 Oil per perforated Ft,First 12 BOE per 1MM lbs proppant,First 12 Gas per 1MM lbs proppant,First 12 Oil per 1MM lbs proppant,First 12 BOE per 1000 BBL Fluid,First 12 Gas per 1000 BBL Fluid,First 12 Oil per 1000 BBL Fluid,Last 12 Gas,Last 12 Oil,Last 12 Water,Last 12 Yield,Prior 12 Gas,Prior 12 Oil,Prior 12 Water,First 24 BOE,First 24 Gas,First 24 Oil,First 24 Water,First 24 MMCFGE,First 60 BOE,First 60 Gas,First 60 Oil,First 60 Water,First 60 MMCFGE,EUR Calc Date,EUR Oil (BE),EUR Oil Months (BE),EUR Oil Proxy (Y/N),EUR Oil Delta (BE),EUR Oil Delta Percent (BE),EUR Oil B-Factor (BE),EUR Oil Initial Rate (BE),EUR Oil Final Rate (BE),EUR Oil Initial Date (BE),EUR Oil End Date (BE),EUR Oil Initial Decline (BE),Oil RRR (BE),EUR Gas (BE),EUR Gas Months (BE),EUR Gas Proxy (Y/N),EUR Gas Delta (BE),EUR Gas Delta Percent (BE),EUR Gas B-Factor (BE),EUR Gas Initial Rate (BE),EUR Gas Final Rate (BE),EUR Gas Initial Date (BE),EUR Gas End Date (BE),EUR Gas Initial Decline (BE),Gas RRR (BE),EUR Oil (Full),EUR Oil Months (Full),EUR Oil B-Factor (Full),EUR Oil Initial Rate (Full),EUR Oil Final Rate (Full),EUR Oil End Date (Full),EUR Oil Initial Decline (Full),Oil RRR (Full),EUR Gas (Full),EUR Gas Months (Full),EUR Gas B-Factor (Full),EUR Gas Initial Rate (Full),EUR Gas Final Rate (Full),EUR Gas End Date (Full),EUR Gas Initial Decline (Full),Gas RRR (Full),EUR (BE) Oil per perforated Ft,EUR (BE) Gas per perforated Ft,EUR (BE) Oil per 1MM lbs proppant,EUR (BE) Gas per 1MM lbs proppant,EUR (BE) Oil per 1000 BBL Fluid,EUR (BE) Gas per 1000 BBL Fluid,EUR (Full) BOE,EUR (Full) BOE per perforated Ft,Horizontal Wellbore Length,TVDSS Mean,Percentage in Landing Zone,Toe in Landing Zone,Footage in Landing Zone,Avg Distance from Top of Zone,Avg Distance from Base of Zone,Ext Formation Thickness Mean,Has Digitized Trajectory (Y/N),Has Filing Document(s) (Y/N),Has Well Log (LAS) (Y/N),Has Well Log (Raster) (Y/N),Has Forecast (Y/N),LAS Mnemonics,Country,AAPG Geologic Province,Play Assessment Basin,State,Section,Township,Range,Quarter Quarter,District,Abstract,Block,Survey,OCS Area,PGC Area,Shallowest Perforation,Deepest Perforation,Gross Perforated Interval (Multiple Prod Entities),Oil Gatherer,Gas Gatherer,Oil Gravity,Gas Gravity,UWI,Surface Hole Latitude (WGS84),Surface Hole Longitude (WGS84),Bottom Hole Latitude (WGS84),Bottom Hole Longitude (WGS84)
2500960069,250096006900,25009600690000,EBM2 012,012,EBM2,CONTANGO RESOURCES COMPANY,CRESCENT ENERGY COMPANY,"CONTANGO RESOURCES, INC.",CRGY,ELK BASIN,CARBON (MT),BIG HORN,,,,,MADISON,MADISON,MULTIPLE,4629,KB,4618,5470,5470,REPORTED,OIL,ACTIVE,2,"105688029,105723819",MULTIPLE,MULTIPLE,1944-05-25,REPORTED,1944-08-27,STATE AGENCY,V,,,,,,,,1,1,,1986-01-01,2026-03-01,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,0,2.85,17100,1559.33,67,1282,341,1460,70,9.356,67,,,,,,,,,,183471.68,64102,172788,2.601391e+06,370.99,1.1008,1100.83,4.8533,13.0821,0,82,3481,,,0,0,45,1589,0,,102,0,102,3541,,,,,,,,,,205,0,205,12225,1.23,,,,,,,,,,0,1288,47906,,0,1599,53759,540,0,540,40229,3.24,1403,0,1403,57227,8.418,2026-05-13,181302.05,117,false,0,0,1.31,1003.75,0,2013-08-01,2036-01-01,0.1,8514.05,67058.83,117,false,0,0,1.47,836.86,0,2014-05-01,2036-01-01,0.5,2956.83,174516.11,117,2,200,0,2036-01-01,0.01,1728.11,66701.97,117,1.97,397,0,2036-01-01,0.02,2599.97,,,,,,,185633.105,,,,,,,,,,false,false,false,false,true,,US,BIG HORN,,MT,35,09S,23E,SWNW,,,,,(N/A),P-515,,,,MULTIPLE,MULTIPLE,,,2500960069,45.010195,-108.880599,45.010195,-108.880599
2500957104,250095710400,25009571040000,EBFR2 009,009,EBFR2,CONTANGO RESOURCES COMPANY,CRESCENT ENERGY COMPANY,"CONTANGO RESOURCES, INC.",CRGY,ELK BASIN,CARBON (MT),BIG HORN,,,,,FRONTIER,FRONTIER,FRONTIER,4557,KB EST,4544,1347,1347,REPORTED,OIL,ACTIVE,1,105681698,COM,596,1920-10-10,REPORTED,1920-11-17,STATE AGENCY,V,,,,,,,,1,1,,1983-09-01,2026-03-01,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8387,,0.8387,5032.258,580,62,499,490,580,62,3.48,62,,,,,,,,,,30513.1,28285,25799,5197,1096.36,0.1831,183.079,2.1238,1.9372,59,33,0,559.32,,1787.88,,25,,,,157,,157,,,,,,,,,,,303,,303,,1.818,,,,,,,,,,2248,255,0,113.4342,3304,306,0,1178,,1178,,7.068,4774,0,4774,4382,28.644,2026-05-13,27199.49,89,false,0,0,2,92,0,2021-08-01,2033-09-01,0.17,1400.49,33430.8,89,false,0,0,0.27,365.44,0,2024-06-01,2033-09-01,0.04,5145.8,26348.49,89,1.92,140.83,0,2033-09-01,0.01,549.49,32450.68,89,1.99,214.11,0,2033-09-01,0.01,4165.68,,,,,,,31756.936666,,,,,,,,,,false,false,false,false,true,,US,BIG HORN,,MT,35,09S,23E,NESWSE,,,,,(N/A),P-515,,,,,,,,2500957104,45.002661,-108.871697,45.002661,-108.871697
2500921302,250092130200,25009213020000,EBET2 #390,#390,EBET2,CONTANGO RESOURCES COMPANY,CRESCENT ENERGY COMPANY,"CONTANGO RESOURCES, INC.",CRGY,ELK BASIN,CARBON (MT),BIG HORN,,,,,"EMBAR, TENSLEEP","EMBAR, TENSLEEP","EMBAR, TENSLEEP",4522.8,KB,4516,6210,5737.48,TRAJECTORY,OIL,ACTIVE,1,130091760,COM,595,2017-11-27,REPORTED,2018-02-01,STATE AGENCY,D,,,,,,,,1,1,1,2018-02-01,2026-03-01,94,2018-01-23,2018-01-23,AdditiveSummary,LINEAR GEL HC,KLX ENERGY SERVICES,,,,94277,1663.17,7045,,,,1.35,,,,,,,,,,,,,,,,83.2586,144.1034,59.2414,499551.724,2424.33,1,4496,1,1718,2,14.546,1,,,,25714.97,47689.26,18222.9,1457.66,2703.27,1032.97,78077.66,145450,53836,144900,2701.72,0.4685,468.466,53.0259,19.6267,0,279,1950,,,0,4496,1675,393,2432.48,411.1031,11937.17,21973,8275,3687,,,,126618.05,233068.51,87773.26,7177.36,13211.52,4975.44,20880.83,38891,14399,10741,125.285,,,,221483.82,412518.43,152730.78,12554.84,23383.66,8657.56,0,3051,20540,,0,4625,21558,41626.83,83231,27755,25535,249.761,67710.67,145450,43469,80690,406.264,2026-05-13,90166.66,502,false,0,0,1,1568.62,0,2018-03-01,2068-02-01,0.06,36330.66,383825.25,502,false,0,0,1.32,3871.56,0,2018-02-01,2068-02-01,0.02,238375.27,90166.66,502,1,1568.62,0,2068-02-01,0.06,36330.66,383825.25,502,1.32,3871.56,0,2068-02-01,0.02,238375.27,,,956401.46,4.07125015e+06,54213.74,230779.33,154137.535,,,,,,,,,,true,true,false,false,true,,US,BIG HORN,,MT,27,09S,23E,SENE,,,,,(N/A),P-515,,,,,,,,2500921302,45.0226177,-108.8857782,45.0176682,-108.889553
2500921270,250092127000,25009212700000,USA 35-5,35-5,USA,CONTANGO RESOURCES COMPANY,CRESCENT ENERGY COMPANY,"CONTANGO RESOURCES, INC.",CRGY,ELK BASIN,CARBON (MT),BIG HORN,,,,,FRONTIER,FRONTIER,FRONTIER,4608.3,KB EST,4597.3,2012,2011.07,TRAJECTORY,OIL,ACTIVE,1,105687467,COM,6470,2001-04-19,REPORTED,2001-09-16,STATE AGENCY,V,1778,1793,15,GROSS PERF INTERVAL,,,,1,1,,2001-09-01,2026-02-01,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8494,17.0968,0,17096.774,330,4,676,1,287,4,1.98,4,22,45.07,19.13,,,,,,,5586,1884,5272,173,357.36,0.0335,33.516,0.8791,2.4601,0,32,0,,,0,676,0,0,,0,1011,1884,697,0,67.4,125.6,46.47,,,,,,,1607,1884,1293,0,9.642,107.13,125.6,86.2,,,,,,,0,349,8,,,,,2328,1884,2014,41,13.968,3183,1884,2869,156,19.098,2026-05-13,10817.51,306,true,0,0,1.8,32,0,2026-03-01,2051-08-01,0.04,5545.51,1884,306,true,0,0,1.8,0,0,2026-03-01,2051-08-01,0.04,0,10817.51,306,1.8,32,0,2051-08-01,0.04,5545.51,1884,306,1.8,0,0,2051-08-01,0.04,0,721.17,125.6,,,,,11131.51,742.1,,,,,,,,,true,true,false,false,true,,US,BIG HORN,,MT,35,09S,23E,SWNE,,,,,(N/A),P-515,,,,,,,,2500921270,45.0085817,-108.8718885,45.0085392,-108.8719243
2500921261,250092126100,25009212610000,HOWELL USA 34-1,34-1,HOWELL USA,CONTANGO RESOURCES COMPANY,CRESCENT ENERGY COMPANY,"CONTANGO RESOURCES, INC.",CRGY,ELK BASIN,CARBON (MT),BIG HORN,,,,,FRONTIER,FRONTIER,FRONTIER,4603,KB,4593.32,,2380,REPORTED,OIL,ACTIVE,1,105683985,COM,6358,2000-09-27,REPORTED,2000-10-01,STATE AGENCY,V,2218,2233,15,GROSS PERF INTERVAL,,,,1,1,,2000-10-01,2026-02-01,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.861,16.9667,14.0333,101166.666,1373.67,18,862,18,1230,18,8.242,18,91.58,57.47,82,,,,,,,37596.32,15596,34997,290,445.64,0.2256,225.578,2.256,5.0625,0,30,0,,,0,103,0,0,1209.03,827.112,523,612,421,0,34.87,40.8,28.07,,,,,,,573,612,471,0,3.438,38.2,40.8,31.4,,,,,,,0,802,10,,0,1398,0,6452,4032,5780,16,38.712,14295.67,5512,13377,99,85.774,2026-05-13,38984.91,295,false,0,0,1.4,347,0,2024-03-01,2050-10-01,0.5,3987.91,15596,295,true,0,0,1.8,0,0,2026-03-01,2050-09-01,0.04,0,45145.83,295,1.92,1235.91,0,2050-10-01,0.5,10148.83,15596,295,1.8,0,0,2050-09-01,0.04,0,3009.72,1039.73,,,,,47745.163333,3183.01,,,,,,,,,false,true,false,false,true,,US,BIG HORN,,MT,34,09S,23E,SWSE,,,,,(N/A),P-515,,,,,,,,2500921261,45.003074,-108.890084,45.003074,-108.890084
2500921245,250092124501,25009212450100,EBET2 340,340,EBET2,CONTANGO RESOURCES COMPANY,CRESCENT ENERGY COMPANY,"CONTANGO RESOURCES, INC.",CRGY,ELK BASIN,CARBON (MT),BIG HORN,,,,,,,,4476,KB EST,4462,6145,5871.24,TRAJECTORY,OIL,ACTIVE,,,,,1991-09-05,REPORTED,,,D,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,false,false,false,,US,BIG HORN,,MT,33,09S,23E,NENE,,,,,,,,,,,,,,2500921245,45.0123188,-108.9063885,45.0140613,-108.9012009
2500921234,250092123400,25009212340000,EBET2 331,331,EBET2,CONTANGO RESOURCES COMPANY,CRESCENT ENERGY COMPANY,"CONTANGO RESOURCES, INC.",CRGY,ELK BASIN,CARBON (MT),BIG HORN,,,,,"EMBAR, TENSLEEP","EMBAR, TENSLEEP","EMBAR, TENSLEEP",4415,KB,4406,6070,5863.67,TRAJECTORY,OIL,ACTIVE,1,105681691,COM,595,1990-01-04,REPORTED,1990-04-09,STATE AGENCY,D,,,,,,,,1,1,,1990-07-01,2026-03-01,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.0968,0,131.0968,786580.645,5829.5,429,30122,399,4508,1,34.977,429,,,,,,,,,,624271.67,1.092502e+06,442188,36515,2470.67,3.7456,3745.63,85.8683,34.755,29733,874,69,29.39,,34019.45,0,4508,50,0,,15944,0,15944,100,,,,,,,,,,26714,0,26714,245,160.284,,,,,,,,,,91925,10522,813,114.4629,73367,8461,463,42004,0,42004,1713,252.024,103333.33,22100,99650,3535,620,2026-05-13,468168.22,171,false,0,0,2,2829.79,0,1990-07-01,2040-07-01,0.01,25980.23,1.41176088e+06,171,false,0,0,2,15061,0,2023-09-01,2040-07-01,0.29,319258.94,468168.22,171,2,2829.79,0,2040-07-01,0.01,25980.23,1.13273925e+06,171,1.99,3462,0,2040-07-01,0.01,40237.2,,,,,,,656958.095,,,,,,,,,,true,true,false,false,true,,US,BIG HORN,,MT,34,09S,23E,SENWSW,,,,,(N/A),P-515,,,,,,,,2500921234,45.004045,-108.9005,45.0054067,-108.8952779
2500921224,250092122400,25009212240000,EBET2 334,334,EBET2,CONTANGO RESOURCES COMPANY,CRESCENT ENERGY COMPANY,"CONTANGO RESOURCES, INC.",CRGY,ELK BASIN,CARBON (MT),BIG HORN,,,,,"EMBAR, TENSLEEP","EMBAR, TENSLEEP",MULTIPLE,4346,KB,4332,5898,5898,VERTICAL,OIL,ACTIVE,2,"105681692,105697110",MULTIPLE,MULTIPLE,1990-10-03,REPORTED,1990-12-28,STATE AGENCY,V,5700,5896,196,GROSS PERF INTERVAL,,,,1,1,,1990-12-01,2026-03-01,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0645,0,99.0645,594387.096,5271,35,5276,221,5018,19,31.626,35,26.89,26.92,25.6,,,,,,,707663.38,817454,571421,111031,1430.56,4.246,4245.98,64.8722,45.3473,0,239,541,,,0,0,3151,1026,0,,16821,0,16821,5099,85.82,0,85.82,,,,,,,35521,0,35521,7300,213.126,181.23,0,181.23,,,,,,,0,1516,7737,,0,2698,5881,76280,0,76280,10192,457.68,211739.83,80645,198299,25006,1270.439,2026-05-13,603853.75,176,false,0,0,0.88,4408.53,0,1992-06-01,2040-12-01,0.01,32432.74,867917.63,176,false,0,0,1.99,4468.33,0,1993-10-01,2040-12-01,0.01,50463.62,603853.75,176,0.88,4408.53,0,2040-12-01,0.01,32432.74,867917.63,176,1.99,4468.33,0,2040-12-01,0.01,50463.62,3080.89,4428.15,,,,,748506.688333,3818.91,,,,,,,,,false,true,false,false,true,,US,BIG HORN,,MT,33,09S,23E,SENE,,,,,(N/A),P-515,,,,MULTIPLE,MULTIPLE,,,2500921224,45.010096,-108.90423,45.010096,-108.90423
2500921222,250092122200,25009212220000,ETEB2 330,330,ETEB2,CONTANGO RESOURCES COMPANY,CRESCENT ENERGY COMPANY,"CONTANGO RESOURCES, INC.",CRGY,ELK BASIN,CARBON (MT),BIG HORN,,,,,"EMBAR, TENSLEEP",TENSLEEP,MULTIPLE,4319,KB,4303,6163,5765.59,TRAJECTORY,OIL,ACTIVE,2,"105681968,105697279",MULTIPLE,MULTIPLE,1988-02-07,REPORTED,1988-07-21,STATE AGENCY,D,6000,6163,163,GROSS PERF INTERVAL,,,,1,1,,1988-08-01,2026-03-01,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.6667,0,122.6667,736000,4519.67,68,4318,248,3967,15,27.118,68,27.73,26.49,24.34,,,,,,,691606.6,697126,575419,51787,1211.51,4.1496,4149.64,51.4826,42.4946,0,254,132,,,0,0,1154,0,0,,15898,0,15898,0,97.53,0,97.53,,,,,,,36537,0,36537,0,219.222,224.15,0,224.15,,,,,,,0,2669,2325,,0,3227,2621,77413,0,77413,0,464.478,180689,0,180689,1004,1084.134,2026-05-13,599903.44,148,false,0,0,1.03,3792,0,1989-10-01,2038-08-01,0.01,24484.42,736176.31,148,false,0,0,1.99,3568.4,0,1994-11-01,2038-08-01,0.01,39050.3,599903.44,148,1.03,3792,0,2038-08-01,0.01,24484.42,736176.31,148,1.99,3568.4,0,2038-08-01,0.01,39050.3,3680.39,4516.42,,,,,722599.491666,4433.13,,,,,,,,,true,true,false,false,true,,US,BIG HORN,,MT,33,09S,23E,NESE,,,,,(N/A),P-515,,,,MULTIPLE,MULTIPLE,,,2500921222,45.006744,-108.9051283,45.0083931,-108.8985002
2500921217,250092121700,25009212170000,NWMD2 011,011,NWMD2,CONTANGO RESOURCES COMPANY,CRESCENT ENERGY COMPANY,"CONTANGO RESOURCES, INC.",CRGY,"ELK BASIN, NORTHWEST",CARBON (MT),BIG HORN,,,,,MADISON,MADISON,MADISON,4354,KB,4342,6778,6778,REPORTED,OIL,ACTIVE,1,105685167,COM,620,1987-08-03,REPORTED,1987-11-20,STATE AGENCY,V,6336,6700,364,GROSS PERF INTERVAL,,,,1,1,,1987-11-01,2026-03-01,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3226,0,33.3226,199935.483,8348.67,19,10484,13,7758,15,50.092,19,22.94,28.8,21.31,,,,,,,1.12415304e+06,496134,1.041464e+06,1.839264e+06,476.38,6.7449,6744.918,35.7806,75.1092,47,1048,4330,22297.87,,44.85,0,1033,0,0,,10437,0,10437,0,28.67,0,28.67,,,,,,,37173.5,5829,36202,0,223.041,102.13,16.01,99.46,,,,,,,6887,8648,52329,1255.6991,6896,10184,49526,116380.33,66944,105223,365,698.282,282976.17,178897,253160,17866,1697.857,2026-05-13,1.08407463e+06,139,false,0,0,2,6063.88,0,1989-01-01,2037-11-01,0.01,42610.67,534668.75,139,false,0,0,2,1254,0,2023-07-01,2037-11-01,0.1,38534.75,1.08407463e+06,139,2,6063.88,0,2037-11-01,0.01,42610.67,511547.66,139,0.85,7571.78,0,2037-11-01,0.04,15413.65,2978.23,1405.35,,,,,1.169332573333e+06,3212.45,,,,,,,,,false,false,false,false,true,,US,BIG HORN,,MT,29,09S,23E,SWSENE,,,,,(N/A),P-515,,,,,,,,2500921217,45.022363,-108.929559,45.022363,-108.929559
